Cycle number,Reference energy [W.h],Reference power [W],n
1,18.6760109957355,66.06792528443783,2.015738150541526
100,17.76798487779844,64.38653323345207,2.6836397161499446
200,17.376732510799332,60.485365118662656,3.027492480825187
300,17.13021880167364,56.74208261685827,3.227389296716595
400,16.920679711233795,53.19627695366511,3.3628378109371035
500,16.784081578131968,49.73037842195776,3.388991105653879
600,16.655477725380045,46.399965593338806,3.3694929204110307
700,16.52418962222991,43.208483966694885,3.3057228057803347
800,16.426605132070204,40.09416971401367,3.149353137563902
900,16.35171428519378,36.88685528706646,2.932039994809364
1000,16.34687858208579,33.13457844289608,2.690345474015626
