Cycle number,Reference energy [W.h],Reference power [W],n
1,18.607886015821634,82.63645398636815,2.0519333582489945
100,17.868517549947335,79.44088567487906,2.529704961520426
200,17.137331812206448,73.33050170829199,3.079539808114484
300,16.7042367814322,67.70838155128513,3.371630710353194
400,16.36392930111867,62.596544601257655,3.526357518631388
500,16.047684201755704,57.93828231673749,3.6102833421887257
600,15.71920311730951,53.707113978518635,3.6654057336264327
700,15.402347145343878,49.82855885940418,3.653676711462635
800,15.094267401698376,46.251995592666695,3.5739435760813705
900,14.787129960918705,42.83218425594373,3.4537433119954377
1000,14.439779045255657,39.34750127336622,3.380518697879631
