Cycle number,Reference energy [W.h],Reference power [W],n
1,18.676010812808652,66.06792508729359,2.015738250771466
100,17.51286190313945,64.03204364505667,2.643440733763416
200,16.88292710360078,59.66994778609161,2.9213688719130873
300,16.420442429030302,55.37347988414508,3.0300371216928896
400,15.992318221335232,51.245150085495624,3.0691875513054705
500,15.584049703629043,47.238469660446775,3.047822022741922
600,15.239216354344576,43.29244738083301,2.9093648360141984
700,14.91927403722521,39.41071626970003,2.68618099116198
800,14.669914605437564,35.01486980140059,2.414338171062665
900,14.29739573760502,29.788022238219764,2.3040620077767726
1000,14.183377776991481,22.92369278841598,2.174024697653906
