Cycle number,Reference energy [W.h],Reference power [W],n
1,18.607886231673277,82.63645438051982,2.0519329792679506
100,17.63160761289368,78.80424159521831,2.485081085275098
200,16.672255566246477,72.22456245998637,2.9678486249092555
300,16.024438561168168,66.17944011743688,3.1891516369871695
400,15.456264028754736,60.749816510007825,3.3016928195512554
500,14.93933671217087,55.85714383214777,3.3201453712066997
600,14.42209452964171,51.56192826422734,3.2887258209684846
700,13.916627070235663,47.785269773444085,3.1869491194650204
800,13.37289046950492,44.314197183079884,3.1018360059648273
900,12.609266474197337,40.95022005873072,3.3007569339166234
1000,11.957325547246914,36.80921642288286,3.4963395321404382
