Cycle number,Reference energy [W.h],Reference power [W],n
1,18.607886182997248,82.63645391508453,2.0519330258847472
100,16.62814472909142,66.12274644067402,3.2859855754433944
200,15.891839325511162,58.14807675035789,3.3547602193145596
300,15.262936741748849,52.53336041413054,3.242886553660838
400,14.720928379653776,48.03450747176945,3.004623214692429
500,14.017900117347741,44.052609419660456,2.961692147987011
600,13.475146442203442,39.44186609921749,2.8716124344146214
700,12.821736454734731,34.7960631214093,2.9819344477998397
800,12.394819654469847,29.776973425069947,2.9815426431911676
900,12.309796804485789,24.57422068241301,2.7040221713528663
1000,10.559843193290515,21.155774855145225,5.054838359632893
