Cycle number,Reference energy [W.h],Reference power [W],n
1,18.645978508247655,82.85723523454048,2.0293608111004917
100,18.57711580342955,85.09397456032367,2.0537602214046267
200,18.39606717588502,84.98000299053564,2.0529016240453903
300,18.213514179893703,84.85951458225803,2.0519786322778777
400,18.02940309441226,84.73148830405877,2.050972079481605
500,17.84365718305589,84.59471505501318,2.0498701721876667
600,17.65619529510784,84.44753143610835,2.048651023607453
700,17.46687549890577,84.28657716426615,2.0473051837647085
800,17.27561199470995,84.10851388425789,2.045799617529624
900,17.082332348383606,83.91047030901191,2.044062532715374
1000,16.886854389969518,83.68898785122308,2.04196506993903
