Cycle number,Reference energy [W.h],Reference power [W],n
1,18.78060442564391,66.24683323511887,1.954883210518791
100,18.54993389111632,67.42562808611564,1.9734871528777214
200,18.29880545120986,66.97608965160504,1.945809042342736
300,18.058881751053832,66.46454868976748,1.9157253190447199
400,17.829665831882213,65.89364354524523,1.8837096462401641
500,17.610585014741073,65.26639838862692,1.8502142701124231
600,17.401038616237486,64.585986785908,1.8156509838710218
700,17.200476460394142,63.85527894785802,1.7803540498239216
800,17.008432479244203,63.07665050582899,1.744588125804003
900,16.824614142172763,62.25176010482746,1.7085419383119578
1000,16.648921744880663,61.38123788638067,1.6723411801551527
