Cycle number,Reference energy [W.h],Reference power [W],n
1,18.645975150391866,82.85723708696545,2.0293628778431922
100,18.341053141004505,84.31978581458806,2.0209312130194137
200,17.932706966005718,83.43632755672203,1.9889614282536021
300,17.53352340185531,82.56586445326658,1.9589769013270928
400,17.142910373607478,81.71381226049975,1.930953010289185
500,16.760349215805043,80.88477199627431,1.9048527364943306
600,16.385377627401194,80.08264651305694,1.880633365232122
700,16.017573610390755,79.31074869745913,1.858251497802214
800,15.65659496730348,78.57181806600778,1.8376392077265895
900,15.302115000055126,77.86812630736807,1.8187478469349665
1000,14.953884440818879,77.20134704795146,1.8015042051662769
