Cycle number,Reference energy [W.h],Reference power [W],n,R^2
1,18.627667586101673,82.83581775824045,2.0342265756576143,0.9968982268030671
100,18.39306613218836,79.43207755618184,2.2776797336781907,0.9973889788792016
200,17.946280524755682,73.61047190500125,2.688787924645191,0.9957582980193389
300,17.65999240065869,68.38933026525994,2.7248923876266824,0.9950268432627627
400,17.296950693639854,64.0799956812326,2.91969737949068,0.994237309445545
500,16.93925462539147,60.13120801993461,3.1046771220373164,0.9925877711889434
600,16.606610937221426,56.26447475331154,3.222927813285725,0.9892687207237706
700,16.349008325623032,52.512477168089795,3.070159338852498,0.9918635022920824
800,15.990256478807607,49.33431276799701,3.2177330048947304,0.9897365117524296
900,15.746311960110635,45.86372052135845,3.0094244104611088,0.991273245565879
1000,15.365899971047513,43.10297110378992,3.1734406360924168,0.9897030475432764
