Cycle number,Reference energy [W.h],Reference power [W],n
1,18.58886925112517,66.13782346732611,2.0340842152365624
100,17.97011628768605,63.10231133873536,2.388865796812287
200,17.43989723802634,58.747261674318715,2.3847430015469304
300,16.86268599314218,54.95563903453221,2.4917967459811576
400,16.33824019616068,51.182821359013595,2.537212220772869
500,15.94733562075335,47.23592175886907,2.3485958403679352
600,15.469794571106378,43.71064684795954,2.337537603845972
700,15.061185552280152,40.06795560073897,2.2238872122405495
800,14.688772502595024,36.349759265429704,2.078234516151424
900,14.318620170410789,32.11453056453798,2.0013929373948227
1000,14.159745426973489,27.06063043493747,1.7762327760472534
