Cycle number,Reference energy [W.h],Reference power [W],n,R^2
1,18.62766732065116,82.83581855439752,2.034226980603058,0.9968982258145932
100,17.947318009455927,78.4055559185016,2.2175008820648623,0.997753294105837
200,17.102387630789504,71.78515255058906,2.5247215611295823,0.996401468722637
300,16.382247284547923,66.14978057258953,2.6454087392475927,0.9944261736996292
400,15.777550771064462,60.992759893998816,2.5542782614193706,0.9945728821953636
500,15.127299195087865,56.669355162966085,2.627368674066471,0.993522173155736
600,14.521875375005157,52.71851255328582,2.653281538919229,0.9917774198456972
700,13.997682418342306,49.18014394586789,2.515810224382227,0.9926704440818066
800,13.426587241349868,46.09415180654797,2.5448257095175326,0.9900186304216716
900,12.929556754813147,43.05889210487882,2.4498804103768648,0.9828388094150802
1000,12.345596231211978,40.179357631397295,2.639293162680192,0.9840985144654034
