Cycle number,Reference energy [W.h],Reference power [W],n,R^2
1,18.588869148125227,66.13782556355861,2.0340838454644583,0.9981331783958782
100,18.41268259503243,63.81743379890378,2.5278841051512733,0.9968764265023871
200,18.234145244735142,60.262660755339965,2.820230649979339,0.9939295457402048
300,18.164109723743234,56.87757266228201,2.837632758074931,0.9939455080566214
400,18.00259573452546,54.04383545730077,3.065426665475087,0.9921283127146756
500,17.987479610359348,50.85542697898945,2.9095940304821877,0.9918499919897861
600,17.82159540958156,48.33424888529586,3.1135722729992046,0.9913769856731912
700,17.707953735281524,45.583790569532766,3.1928426715572424,0.9876474987389771
800,17.65627052437516,42.90676486417396,3.054435347663494,0.99110042922476
900,17.544573763197576,40.275275827135474,3.076162966917767,0.9876540965758654
1000,17.488974071637855,37.67691994708163,2.9044753929016474,0.9913124565542133
