Cycle number,Reference energy [W.h],Reference power [W],n
1,18.627667586101673,82.83581775824045,2.0342265756576143
100,18.30102505038253,79.35004153131992,2.439333746421077
200,17.844449530248845,73.20804370047674,2.8850366658937805
300,17.466620599912925,68.01514213102939,3.1369278169538033
400,17.109337297186762,63.34798746116672,3.318199446024558
500,16.838372187697363,58.931630336996015,3.165515316118846
600,16.457137585050216,55.29488127470232,3.367597745935921
700,16.10440401579163,51.68184099740735,3.4851163807819785
800,15.836979694751316,48.14199159647825,3.249352202264333
900,15.459035945593971,45.18284119530951,3.398560600674494
1000,15.195111059673074,41.94730096683737,3.1490233831061256
