Cycle number,Reference energy [W.h],Reference power [W],n
1,18.63728613818148,83.16941599828863,2.018518593263763
100,18.539486512464492,86.12392974085056,2.039378681075131
200,18.28623726121013,85.87129512275254,2.0379647983032236
300,18.030761548676132,85.60880478238053,2.0364134840689396
400,17.772942726438874,85.3354138109234,2.034702296334158
500,17.5126500084923,85.05034482583004,2.0327931799040218
600,17.249735245171806,84.7522912003113,2.0306346384875975
700,16.984018963634586,84.44015680639579,2.028133911543044
800,16.71526326433703,84.11231873034212,2.0251977849659815
900,16.44315414455615,83.76719627080664,2.0216623775196
1000,16.167229996742776,83.4029432654305,2.017299210130056
