Cycle number,Reference energy [W.h],Reference power [W],n
1,18.637285899556556,83.16934587994947,2.0185206335215393
100,18.015517341155327,84.76073245025368,1.9900738357931174
200,17.287477455630565,83.09467551476126,1.942385090142413
300,16.604437653643135,81.42535492812814,1.8983960822763741
400,15.960613606017178,79.78352620184722,1.857965533249954
500,15.351761373640368,78.18980218499084,1.8206685290860898
600,14.774803148638588,76.65511925341009,1.786070113022037
700,14.227541310618898,75.1822058223067,1.7538705991505983
800,13.70826983525053,73.76680929218128,1.724120073555642
900,13.215587675503386,72.4077024314492,1.697087330455089
1000,12.748201791229194,71.10771504576883,1.6731317380819748
