Cycle number,Reference energy [W.h],Reference power [W],n,R^2
1,18.63728613818148,83.16941599828863,2.018518593263763,0.9965880802271873
100,18.588401595659185,85.217943920658,2.0224805646311608,0.996720563313265
200,18.362390612137894,85.07107196135291,2.0212086247650785,0.9966914701370239
300,18.133770771409903,84.9138621550993,2.0199007317037556,0.996660444784814
400,17.902358880104597,84.74434406888582,2.018544895388747,0.9966272454425544
500,17.66792519134229,84.55951220292629,2.0171285829089856,0.9965914650328265
600,17.43010902716156,84.35348155560652,2.0156651439451077,0.9965529030781564
700,17.188631234771467,84.1207964775431,2.0141073033486534,0.9965106183526258
800,16.943001595647207,83.85620533769392,2.0123456224795544,0.9964635784806022
900,16.69231475216636,83.55333273994127,2.0101466673879553,0.9964097077995644
1000,16.434742851371993,83.20420258735098,2.0070524419036975,0.9963453186202866
