Cycle number,Reference energy [W.h],Reference power [W],n,R^2
1,18.61617973342901,66.55513185799329,1.9859688286707569,0.9977751156473725
100,18.257570007493307,67.28526665038169,1.9752615029461817,0.9980687521306074
200,17.798440980329847,66.59462853699935,1.9324446812980627,0.9980946514518533
300,17.366537375768285,65.78650469870605,1.8863194071827576,0.9980825905082319
400,16.958671790597734,64.87820964170179,1.83857034651992,0.9980199922584058
500,16.572402478918228,63.88372261074121,1.7903855122486154,0.9979001843051536
600,16.205954555252916,62.81257173810248,1.7424920759492055,0.9977177218388672
700,15.858239213262218,61.66744972630425,1.6951805509650475,0.997467621699611
800,15.528946401622013,60.44198947943801,1.6484676060658816,0.9971412780638297
900,15.218426713954017,59.12283768906297,1.6024658058242758,0.9967253035637235
1000,14.927319999606384,57.6994605453349,1.5577265646749106,0.9962056238286662
